Variable,TABLA,TABLA INSUMO
rfc,DBMYMWORK.JAT_MCV_VAR_VP, DBRISKDATAMART.TBL_CARTERACREDITICIA & BANREGIO_BOI.voluntaddepago_diario
sum_amortizacionexigible,DBMYMWORK.JAT_MCV_VAR_VP, DBRISKDATAMART.TBL_CARTERACREDITICIA & BANREGIO_BOI.voluntaddepago_diario
sum_amortizacionnoexigible,DBMYMWORK.JAT_MCV_VAR_VP, DBRISKDATAMART.TBL_CARTERACREDITICIA & BANREGIO_BOI.voluntaddepago_diario
sum_pagorealizado_periodo,DBMYMWORK.JAT_MCV_VAR_VP, DBRISKDATAMART.TBL_CARTERACREDITICIA & BANREGIO_BOI.voluntaddepago_diario
sum_pagorealizado_mes,DBMYMWORK.JAT_MCV_VAR_VP, DBRISKDATAMART.TBL_CARTERACREDITICIA & BANREGIO_BOI.voluntaddepago_diario
max_dias_para_pago,DBMYMWORK.JAT_MCV_VAR_VP, DBRISKDATAMART.TBL_CARTERACREDITICIA & BANREGIO_BOI.voluntaddepago_diario
max_vp_per,DBMYMWORK.JAT_MCV_VAR_VP, DBRISKDATAMART.TBL_CARTERACREDITICIA & BANREGIO_BOI.voluntaddepago_diario
min_vp_per,DBMYMWORK.JAT_MCV_VAR_VP, DBRISKDATAMART.TBL_CARTERACREDITICIA & BANREGIO_BOI.voluntaddepago_diario
avg1_vp_per,DBMYMWORK.JAT_MCV_VAR_VP, DBRISKDATAMART.TBL_CARTERACREDITICIA & BANREGIO_BOI.voluntaddepago_diario
avg2_vp_per,DBMYMWORK.JAT_MCV_VAR_VP, DBRISKDATAMART.TBL_CARTERACREDITICIA & BANREGIO_BOI.voluntaddepago_diario
