VARIABLE,TABLA,TABLA INSUMO
min_num_grw_mop_tu_all_cl_acc,btdc_lgg_var_num_grw_mop,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_3/ dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 / dbriskdatamart.tbl_buroconsulta_recurrente
avg_max_mop_hist_12m_tu_all_op_acc,btdc_lgg_var_max_mop_hist_12m,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_2 /dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 /dbriskdatamart.tbl_buroconsulta_recurrente
max_dlq_bal_nbk_tu_op_acc,btdc_lgg_var_dlq_bal,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
max_mop_lt2_bk_pl,btdc_lgg_var_mop_lt2,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_3/ dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 / dbriskdatamart.tbl_buroconsulta_recurrente
sum_ms_lst_pay_nbk_r_op_acc,btdc_lgg_var_ms_lst_pay,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
avg_dlq_bal_op_acc,btdc_lgg_var_dlq_bal,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
num_op_acc_bk_op_acc_u06m,btdc_lgg_var_count_acc,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
max_cred_max_nbk_op_acc,btdc_lgg_var_cred_max,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_3/ dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 / dbriskdatamart.tbl_buroconsulta_recurrente
sum_num_pmt_nbk_cl_acc,btdc_lgg_var_num_pmt,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
avg_d_cur_bal_to_pmt_bk_op_acc,btdc_lgg_var_d_cur_bal_to_pmt,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
sum_ms_op_nbk_cl_acc,btdc_lgg_var_ms_op,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
num_max_mop_bk_pl_op_acc,btdc_lgg_var_max_mop,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_2 /dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 /dbriskdatamart.tbl_buroconsulta_recurrente
